edge_key,from_node_key,to_node_key,distance_score,danger_level,road_type,bidirectional,requires_flag,notes,source_key
auto_0001_borderwatch_outpost_to_auto_borderwatch_to_melve_001,borderwatch_outpost,auto_borderwatch_to_melve_001,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0002_auto_borderwatch_to_melve_001_to_auto_borderwatch_to_melve_002,auto_borderwatch_to_melve_001,auto_borderwatch_to_melve_002,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0003_auto_borderwatch_to_melve_002_to_auto_borderwatch_to_melve_003,auto_borderwatch_to_melve_002,auto_borderwatch_to_melve_003,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0004_auto_borderwatch_to_melve_003_to_auto_borderwatch_to_melve_004,auto_borderwatch_to_melve_003,auto_borderwatch_to_melve_004,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0005_auto_borderwatch_to_melve_004_to_auto_borderwatch_to_melve_005,auto_borderwatch_to_melve_004,auto_borderwatch_to_melve_005,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0006_auto_borderwatch_to_melve_005_to_auto_borderwatch_to_melve_006,auto_borderwatch_to_melve_005,auto_borderwatch_to_melve_006,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0007_auto_borderwatch_to_melve_006_to_auto_borderwatch_to_melve_007,auto_borderwatch_to_melve_006,auto_borderwatch_to_melve_007,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0008_auto_borderwatch_to_melve_007_to_auto_borderwatch_to_melve_008,auto_borderwatch_to_melve_007,auto_borderwatch_to_melve_008,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0009_auto_borderwatch_to_melve_008_to_auto_borderwatch_to_melve_009,auto_borderwatch_to_melve_008,auto_borderwatch_to_melve_009,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0010_auto_borderwatch_to_melve_009_to_auto_borderwatch_to_melve_010,auto_borderwatch_to_melve_009,auto_borderwatch_to_melve_010,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
