route_key,route_name,vocation_key,route_type,target_playstyle,step_key,step_order,title,instruction,location_key,map_anchor_key,step_type,objective_type,estimated_minutes,danger_level,priority_score,manual_only,engine_enabled,is_optional,is_repeatable,spoiler_level,notes,source_key
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,start_borderwatch,10,Start bij Borderwatch,Controleer je startuitrusting en markeer Borderwatch als beginpunt.,borderwatch_outpost,borderwatch,start,visit,2,1,50,0,1,0,0,0,Eerste vaste startstap.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,borderwatch_supplies,20,Check basisvoorraad,Controleer healing items en rust voordat je richting Melve gaat.,borderwatch_outpost,borderwatch,prepare,checklist,3,1,55,0,1,0,0,0,Voorbereiding voor veilige start.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,travel_to_melve,30,Ga naar Melve,Volg de route naar Melve en pak alleen veilige loot onderweg.,melve,melve,travel,visit,8,1,60,0,1,0,0,0,Eerste routeverplaatsing.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,visit_melve,40,Bezoek Melve,Activeer Melve als vroeg routeknooppunt en controleer winkels of rustplek.,melve,melve,settlement,visit,5,1,60,0,1,0,0,0,Melve is vroeg belangrijk routepunt.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,secure_melve_checkpoint,50,Zet Melve op de route vast,Zorg dat Melve als veilige tussenstop in je hoofdroute staat.,melve,melve,checkpoint,checklist,2,1,65,0,1,0,0,0,Voor minder backtracking.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,travel_melve_to_vernworth,60,Reis richting Vernworth,Ga vanuit Melve zuidwaarts richting Vernworth via de hoofdroute.,vernworth,vernworth,travel,visit,12,2,70,0,1,0,0,0,Vernworth is de eerste grote hub.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,reach_vernworth,70,Bereik Vernworth,Maak Vernworth je hoofd-hub voor quests winkels en vocation management.,vernworth,vernworth,hub,visit,5,1,80,0,1,0,0,0,Vernworth wordt de centrale routehub.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,check_vernworth_shops,80,Check Vernworth winkels,Controleer wapens armor en voorraden voordat je de mijnroute doet.,vernworth,vernworth,prepare,shop,6,1,75,0,1,0,0,0,Voorbereiding op Trevo Mine.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,speak_roderick,90,Spreek met Roderick,Spreek met Roderick over de gestolen wapens voor Vocation Frustration.,vernworth,vernworth,quest,talk,4,1,85,0,1,0,0,1,Startinformatie voor Vocation Frustration.,game8
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,accept_vocation_frustration,100,Start Vocation Frustration,Zet Vocation Frustration actief zodat Warrior en Sorcerer unlock logisch in de route past.,vernworth,vernworth,quest,accept,3,1,90,0,1,0,0,1,Unlock-route voor Warrior en Sorcerer.,game8
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,prepare_for_trevo_mine,110,Bereid Trevo Mine voor,Rust uit vul healing aan en neem een volle party mee.,vernworth,vernworth,prepare,checklist,6,2,85,0,1,0,0,1,Trevo Mine is gevaarlijker dan de startgebieden.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,travel_to_trevo_mine,120,Reis naar Trevo Mine,Ga vanuit Vernworth richting Trevo Mine voor de gestolen wapens.,trevo_mine,trevo_mine,travel,visit,10,2,90,0,1,0,0,1,Trevo Mine is de kern van deze power spike.,game8
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,enter_trevo_mine,130,Betreed Trevo Mine,Ga de mijn binnen en speel voorzichtig door de smalle paden.,trevo_mine,trevo_mine,dungeon,enter,3,3,90,0,1,0,0,1,Smalle mijnroute met goblins.,game8
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,clear_trevo_mine,140,Maak Trevo Mine veilig,Schakel vijanden in Trevo Mine uit voordat je de chests volledig loot.,trevo_mine,trevo_mine,combat,clear,12,3,95,0,1,0,0,1,Nodig voor veilige lootroute.,own_playthrough
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,collect_greatsword,150,Pak de Greatsword,Vind de Greatsword in Trevo Mine voor de Warrior unlock.,trevo_mine,trevo_mine,loot,pickup,5,3,100,0,1,0,0,1,Belangrijke vocation unlock loot.,game8
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,collect_archistaff,160,Pak de Archistaff,Vind de Archistaff in Trevo Mine voor de Sorcerer unlock.,trevo_mine,trevo_mine,loot,pickup,5,3,100,0,1,0,0,1,Belangrijke vocation unlock loot.,game8
fighter_op_fast_manual,Fighter OP Fast Manual,fighter,manual_walkthrough,op_fast,exit_trevo_mine,170,Verlaat Trevo Mine,Verlaat de mijn nadat beide wapens veilig zijn verzameld.,trevo_mine,trevo_mine,dungeon,exit,4,2,85,0,1,0,0,1,Controlepunt na dungeonloot.,own_playthrough
